aallokas	валйӧсь
aaltoileva	валйӧсь
aaltoileva	гыа
aaltoinen	валйӧсь
aamuinen	асъя
aamuinen	асывся
aamuinen	асывъя
aamunkoite	лӧзъюгыд
aamunkoitto	лӧзъюгыд
aamunsarastus	лӧзъюгыд
ahdas	дзескыд
ahkera	зіль
ahkera	ретив
ahkera	уджач
ahnas	азым
ahnas	горш
ahnas	закуч
ahnas	колысь
ahnas	пӧтлытӧм
ahne	азым
ahne	горш
ahne	закуч
ahne	колысь
ahne	пӧтлытӧм
aiempi	войдӧрся
aikaisempi	войдӧрся
ainoa	ӧтка
akanainen	кыдйӧсь
akanainen	кыдъя
akkojen	бабъей
aktiivinen	актив
alakuloinen	дзугыль
alempi	улі
alinomainen	пырся
alistuva	рам
alistuva	раминик
alkoholinen	коддзӧдан
alkoholipitoinen	коддзӧдан
alkoholiton	алкогольтӧм
ampumaton	лыйтӧм
ankara	стрӧг
antelias	лышкыд
armaani	бобӧ
arvokas	дона
arvoton	донтӧм
arvovaltainen	авъя
aseistettu	пишшаля
asfalttipäällysteinen	асфальта
aukinainen	пась
auringonpuoleinen	гожводзса
aurinkoinen	шондіа
autio	пуста
autuaallinen	блажен
avattu	жан
avoin	восьса
avoin	жан
avoin	жер
avoin	пась
betonoida	бетонируйтны
edellinen	воддза
eheä	дзонь
ehjä	дзонь
eilinen	тӧрытъя
eilispäivän	тӧрытъя
eksentrinen	аслыспӧлӧс
elinvoimainen	винёв
elollinen	ловъя
eloton	ловтӧм
elävä	ловъя
ennennäkemätön	вӧвлытӧм
ensimmäinen	медводдза
entinen	важ
entinen	воддза
entisaikainen	важдырся
entisajan	важдырся
epäkelpo	ладтӧм
epäkohtelias	вежавидзтӧм
epäkunnioittava	вежавидзтӧм
epäkypsä	вотӧм
epäkäytännöllinen	идӧртӧм
epämiellyttävä	мустӧм
epämieluinen	мустӧм
epämuotoinen	баръёв
epäonnistunut	артмытӧм
epäselkeä	ясыдтӧм
epäselvä	ясыдтӧм
epäsiisti	дурк
epäsiisti	идӧртӧм
epäsuhtainen	бокпӧла
epäsäännöllinen	кантыш
epätaloudellinen	идӧртӧм
epätasainen	валйӧсь
epätasainen	воглӧм
epätasainen	гӧптӧсь
epätasainen	кантыш
epätavallinen	вӧвлытӧм
epävakaa	дзибрӧс
epävakaa	дзибыр
epäystävällinen	бугжыль
erheellinen	ӧшыбкаа
erheetön	ӧшыбкатӧм
eri	торъя
erikoinen	аслыссикас
erilainen	быднога
erillinen	ӧтка
erinomainen	кодя
eronnut	юксьӧм
esikaupungin	карбердса
esikaupungin	каргӧгӧрса
esikaupungin	кардорса
eteläinen	лунвывса
etumainen	медводдза
eturivin	медводзмӧстчысь
evällinen	бордъя
haalea	дэбыд
haalea	жуним
haalistunut	быгыд
haarainen	вожӧсь
haarakas	вожӧсь
haikea	дзугыль
haikea	жугыль
hallinnollinen??	власьтбердса
hallitseva	веськӧдлысь
halpa	донтӧм
hapan	пагыр
hapan	шома
hapantunut	пагыр
happamaton	дуб
harmaa	руд
harmahtava	еджговруд
harmahtava	рудов
hartsipitoinen	сирӧд
harva	гежӧд
harva	рабыд
harvinainen	гежӧд
harvinainen	рабыд
harvinainen	шоч
hassu	йӧйиник
hattupäinen	шапкаа
hauras	рыж
hauras	рышкыд
hauras	трӧпӧк
hauska	нимкодь
hauska	серамбана
hehkuva	дон
heikko	жеб
heikko	омӧль
heikko	слаб
heikonlainen	омӧлиник
heiveröinen	жеб
heiveröinen	трӧпӧк
helakanpunainen	алӧйгӧрд
heleänpunainen	алӧйгӧрд
heleäsointuinen	юрган
helkkävä	юрган
hellä	шань
helpoin	медкокни
helppo	кокни
helppo	кокньыд
helppo	простой
helteinen	жар
hemmoteltu	вань
hempeä	вань
hento	вань
hento	жеб
hentomielinen	вань
herkkä	вань
herkkä	пуков
herkkä	сатӧк
herkkämielinen	сатӧк
herkullinen	чӧскыд
herttainen	мусаник
hetkellinen	здукся
hidas	мижуй
hidas	ньӧжмыд
hidas	ньӧжмыдик
hidasliikkeinen	дыгыд
hieno(steleva)	тшап
hihallinen	соса
hiljaa	лӧнь
hiljainen	лӧнь
hiljainen	рам
hiljainen	раминик
hiljainen	чӧв
hiljattainen	войдӧрся
hillitty	авъя
hilseinen	килльӧсь
hintelä	трӧпӧк
hoikka	вӧсни
hoikka	косньӧд
hoiperteleva	варгыль
hoippuva	варгыль
hoksaava	сюсь
holhouksenalainen	дӧзьерувса
holtiton	идӧртӧм
holtiton	пӧестӧм
horjuva	дзибрӧс
horjuva	дзибыр
hullu	бӧб
hulluin	медбӧб
humalluttava	коддзӧдан
huojuva	зыбуч
huokoinen	синмӧсь
huolehtiva	заботлыв
huolehtivainen	заботлыв
huolellinen	идӧра
huoleton	идӧртӧм
huoleton	пӧестӧм
huolimaton	дурк
huolimaton	идӧртӧм
huolimaton	шӧпей
huomaamaton	шӧпей
huomattava	шыбитчана
huominen	аскиа
huomisen	аскиа
huono	ладтӧм
huono	лёк
huono	омӧль
huono	слаб
huonokuntoinen	зыртчӧма
huononlainen	омӧлиник
huonovointinen	нёрпалысь
hupsu	йӧйиник
huumaannuttava	коддзӧдан
huumaava	коддзӧдан
hyllyvä	зыбуч
hymyilyttävä	серамбана
hytkyttävä	зуркыд
hyveellinen	блажен
hyvä	бур
hyvä	шань
hyvänmakuinen	чӧскыд
häijy	бугжыль
häijy	скӧралысь
häikäisevä	яръюгыд
hämmästyvä	шензьысь
hämmästyvä	шензяна
hännällinen	бӧжа
höllä	руш
hölläsuinen	вома
hölmö	бӧб
höperö	йӧйиник
höyheninen	гӧнӧсь
iankaikkinen	векися
iankaikkinen	векӧвӧйся
identtinen	ӧткодь
ihana	мусаник
ikivanha	векися
ikivanha	векӧвӧйся
ikivanha	нэмӧвӧйся
ikävystyttävä	дӧзмыд
ikävä	дӧзмыд
iljanteinen	ёльк
iljettävä	мустӧм
ilkeä	бугжыль
ilkeä	лёк
ilkeä	скӧралысь
ilkeäluonteinen	лэчыд
iloinen	весел
iloinen	гажа
iloinen	долыд
iloinen	кыпыд
iloinen	рад
iloisin	медгажа
imeväinen	пузчужӧм
innoittava	ышӧдана
innokas	актив
innokas	ретив
innokas	яр
innostava	ышӧдана
inspiroiva	ышӧдана
irtautuva	мынан
iso	гырысь
iso	лӧньыд
iso	ыджыд
itara	надз
itara	скуп
itsehallinnoton	асъюравтӧм
itsenäinen	асшӧр
itsepäinen	асныра
itsepäinen	асруа
iz’valainen	изьваса
iäkäs	арлыда
iäkäs	пӧрысь
iänikuinen	векися
iänikuinen	векӧвӧйся
jatkuva	пырся
johtava	веськӧдлысь
johtava	юралысь
joka	берсяма
jokainen	берсяма
jokainen	быднога
jokapäiväinen	быдлунся
jokapäiväinen	быдлунъя
jonkinvuotinen	кодкӧвося
joutuisa	тэрыб
juhlanaikainen	празьникдырся
juhlava	чангыль
julistamaton	йӧзӧдтӧм
julkaisematon	йӧзӧдтӧм
julkistamaton	йӧзӧдтӧм
julma	мисьтӧминик
juokseva	кизьӧриник
juonikas	саръя
juotava	юан
juurellinen	вужъя
jykevä	дюж
jykevä	дюжлив
jykevä	эжа
jylisevä	гольыд
jymisevä	гольыд
jyrisevä	гольыд
jyrkkä	гупльӧс
jyrkkä	ярскӧб
jyrkkä(rantainen)	гупльӧс
jyrkkäsanainen	ярскӧб
jähmettynyt	ёльк
jälkimmäinen	бӧръя
jänteikäs	винёв
jäntevä	винёв
järeä	гырысь
järjestyksetön	пӧестӧм
järjestäytymätön	пӧестӧм
järjetön	мывкыдтӧм
järkevä	мывкыд
järkevä	сюсь
jäähileinen	йӧжа
jääpeitteinen	ёльк
jäätynyt	кын
jäätynyt	ёльк
kaalin	капустаа
kaalinen	капустаа
kademielinen	колысь
kaikenlainen	быднога
kaikenmoinen	быднога
kaikuisa	юрган
kaikuva	гольыд
kaikuva	гулыд
kaikuva	юрган
kallis	дона
kalpea	блед
kalpea	быгыд
kalpea	кельыд
kaltainen	кодь
kalteva	вежынь
kalteva	вежыня
kalteva	шлюн
kalvakka	кельыд
kankea??	кепрӧс
kannokas	діныш
kansainvälinen	войтыркост
kansallinen	йӧзкост
kansallinen	йӧзкост
kapea	векни
kapea	векньыд
karkea	вежавидзтӧм
karvainen	гӧна
karvainen	гӧнӧсь
karvas	курыд
kateellinen	вежӧг
kateellinen	колысь
katkerahko	кургов
katoksellinen	болкъя
kauhistuttava	повзьӧдчана
kaukainen	ылі
kaunis	басӧк
kaunis	мича
kaupungin	карса
kaupunkineuvoston	карсӧветса
kehittymätön	артмытӧм
kehno	жеб
kehno	омӧлиник
kehnonlainen	омӧлиник
keikaroiva	тшап
kellertävä	вижов
kellertävä	вижоват
kelmeä	кельыд
keltainen	виж
keltainen	кольквиж
kelvoton	ладтӧм
kelvoton	лёк
kelvoton	лӧсявтӧм
kerroksellinen	вевся
kesakkoinen	беринӧсь
keskeinen	медшӧр
keskeneräinen	эштӧдтӧм
keskiaikainen	шӧрнэмса
keskimmäinen	шӧр
keskinäinen	шӧр
kestävä	винёв
kestävä	дыр
kestävä	дюж
kestävä	дюжлив
kesyttämätön	кид
ketterä	швычӧк
ketterä	шурыд
ketterä	шурӧб
keuhkotautuinen	пӧдысь
kevyin	медкокни
kevyt	кокни
kevyt	кокньыд
keväinen	тувсовъя
kevään	тувсовъя
kielevä	варов
kielevä	вома
kiero	бокпӧла
kiero	вежынь
kiero	вежыня
kiertynyt	гартола
kiihkeä	ретив
kiihkeä	яр
kiinnittämätön	домавтӧм
kiinteä	дзескыд
kiinteä	зумыд
kiireinen	тэрыб
kiistelynhaluinen	пинькырӧс
kiitettävä	ошкана
kiittävä	ошкана
kiivas	яр
kiivas(luonteinen)	горач
kipakka	швичкан
kipeä	доя
kipeä	нёрпалысь
kireä	зэлыд
kirjava	сера
kirkas	сэзь
kirkas	югыд
kirkas	яр
kirkas	яръюгыд
kirkkaankeltainen	югыдкольквиж
kirkkaanpunainen	югыдгӧрд
kirkkain	медъюгыд
kiroava	ёрччан
kirpaiseva	швичкан
kirpeä	ярскӧб
kirpeä	ёсь
kitisevä	дзуртан
kitkerä	курыд
kitkerähkö	кургов
kitsas	колысь
kiukkuinen	бугжыль
kiukutteleva	саръя
kivikkoinen	кырта
kivinen	изйӧсь
kohmeinen	йӧжа
kohmettunut	ёльк
kohtelias	авъя
kohtelias	вежлив
kohtelias	шань
kokematon	шель
kokkareinen	йӧнгыльӧсь
kokkareinen	кокыльӧсь
koko	быдса
kokonainen	быдса
kokonainen	дзонь
kolea	ыркыд
koloinen	жельӧбӧсь
koloinen	пӧвъя
koloinen	синмӧсь
komea	кодя
korea	вӧччӧма
korkea	джуджыд
korkea	чангыль
korrekti	вежлив
koruton	небуриник
korvallinen	пеля
